ids,rooftop_ids,rooftop_region,area (m^2),effective area (m^2),rooftop_quality,rooftop_flatness,x coords,y coords,x mean,y mean,first energy generated (kWh),first year cost savings (£),first year co2 savings (kg),25 year energy savings (kWh),25 year savings (£),25 year co2 savings (kg),break even time (years),roi after 25 years (%)
0,1,1,56.595,67.914,Good,Inclined,"[6, 24, 28]","[980, 975, 996]",19.33333333,983.6666667,13716.3642,3264.49468,3881.731069,304748.3152,89750.43843,86243.7732,5,534.3347535
1,1,2,338.1,236.67,Intermediate,Inclined,"[27, 42, 73, 39]","[966, 937, 934, 994]",45.25,957.75,73303.461,17446.22372,20744.87946,1628646.332,479647.3517,460906.9119,5,467.4621138
2,2,1,72.03,86.436,Good,Inclined,"[52, 67, 80]","[895, 885, 906]",66.33333333,895.3333333,17457.1908,4154.81141,4940.384996,387861.4921,114227.8307,109764.8023,5,534.3347535
3,2,2,377.545,264.2815,Intermediate,Inclined,"[70, 91, 116, 83]","[886, 840, 837, 904]",90,866.75,81855.53145,19481.61649,23165.1154,1818655.07,535606.2094,514679.3849,5,467.4621138
4,3,1,42.875,51.45,Good,Inclined,"[103, 128, 118]","[787, 777, 791]",116.3333333,785,10391.185,2473.10203,2940.705355,230869.9358,67992.75639,65336.19182,5,534.3347535
5,3,2,37.485,26.2395,Intermediate,Inclined,"[135, 126, 134, 143]","[752, 765, 770, 757]",134.5,761,8127.12285,1934.255238,2299.975767,180567.3107,53178.29334,51100.54892,6,467.4621138
6,3,3,24.255,29.106,Good,Inclined,"[95, 88, 77]","[767, 778, 775]",86.66666667,773.3333333,5878.4418,1399.069148,1663.599029,130606.4208,38464.47361,36961.61709,5,534.3347535
7,3,4,15.435,18.522,Good,Inclined,"[93, 103, 100, 89]","[776, 780, 785, 781]",96.25,780.5,3740.8266,890.3167308,1058.653928,83113.17687,24477.3923,23521.02905,5,534.3347535
8,4,1,59.535,71.442,Good,Inclined,"[45, 64, 70, 43]","[763, 768, 781, 770]",55.5,770.5,14428.9026,3434.078819,4083.379436,320579.3965,94412.79887,90723.96921,5,534.3347535
9,4,2,27.93,19.551,Intermediate,Inclined,"[71, 66, 71, 78]","[760, 770, 779, 766]",71.5,768.75,6055.5033,1441.209785,1713.707434,134540.3491,39623.04209,38074.91881,6,467.4621138
10,5,1,156.31,109.417,Intermediate,Inclined,"[106, 123, 150, 141]","[701, 688, 701, 717]",130,701.75,33889.5711,8065.717922,9590.748621,752953.8838,221750.0075,213085.9491,5,467.4621138
11,5,2,59.29,41.503,Intermediate,Inclined,"[135, 145, 157, 151]","[689, 670, 677, 692]",147,682,12854.6649,3059.410246,3637.870167,285603.1973,84112.07181,80825.70483,5,467.4621138
12,6,1,47.04,56.448,Good,Inclined,"[17, 24, 41]","[628, 644, 640]",27.33333333,637.3333333,11400.6144,2713.346227,3226.373875,253297.3009,74597.76701,71683.13617,5,534.3347535
13,6,2,67.4975,47.24825,Intermediate,Inclined,"[39, 41, 58, 57]","[625, 647, 653, 624]",48.75,637.25,14634.13298,3482.923648,4141.459632,325139.1771,95755.68506,92014.38711,5,467.4621138
14,7,1,202.125,141.4875,Intermediate,Inclined,"[194, 216, 238, 244]","[504, 494, 500, 527]",223,506.25,43822.72125,10429.80766,12401.83011,973647.2635,286745.6994,275542.1756,5,467.4621138
15,7,2,201.2675,140.88725,Intermediate,Inclined,"[243, 260, 274, 246]","[502, 479, 472, 525]",255.75,494.5,43636.80668,10385.55999,12349.21629,969516.6387,285529.2025,274373.2088,5,467.4621138
16,7,3,92.61,64.827,Intermediate,Inclined,"[224, 213, 231, 241]","[461, 485, 481, 458]",227.25,471.25,20078.7741,4778.748236,5682.29307,446107.4734,131381.6659,126248.415,5,467.4621138
17,8,1,149.94,104.958,Intermediate,Inclined,"[194, 173, 160, 179]","[427, 430, 452, 463]",176.5,443,32508.4914,7737.020953,9199.903066,722269.2427,212713.1734,204402.1957,5,467.4621138
18,8,2,169.05,118.335,Intermediate,Inclined,"[133, 152, 148, 122]","[390, 383, 416, 429]",138.75,404.5,36651.7305,8723.111859,10372.43973,814323.1658,239823.6758,230453.4559,5,467.4621138
19,8,3,56.2275,39.35925,Intermediate,Flat,"[139, 156, 150, 129]","[426, 433, 443, 435]",143.5,434.25,12190.68428,2901.382857,3449.96365,270850.966,79767.44001,76650.82338,5,467.4621138
20,9,1,209.5975,146.71825,Intermediate,Inclined,"[139, 163, 198, 171]","[337, 323, 326, 352]",167.75,334.5,45442.83398,10815.39449,12860.32201,1009642.708,297346.601,285728.8863,5,467.4621138
21,10,1,135.975,163.17,Good,Inclined,"[271, 283, 308, 305]","[412, 402, 414, 432]",291.75,415,32954.901,7843.266438,9326.236983,732187.5105,215634.1703,207209.0655,5,534.3347535
22,10,2,252.105,176.4735,Intermediate,Inclined,"[319, 297, 315, 339]","[370, 406, 414, 365]",317.5,388.75,54658.88505,13008.81464,15468.46447,1214403.678,357650.0905,343676.2408,5,467.4621138
23,10,3,78.4,94.08,Good,Inclined,"[278, 296, 318, 291]","[363, 357, 368, 373]",295.75,365.25,19001.024,4522.243712,5377.289792,422162.1682,124329.6117,119471.8936,5,534.3347535
24,11,1,215.6,150.92,Intermediate,Inclined,"[304, 324, 359, 352]","[311, 301, 321, 333]",334.75,316.5,46744.236,11125.12817,13228.61879,1038557.081,305862.0793,293911.6539,5,467.4621138
25,11,1,90.0375,63.02625,Intermediate,Inclined,"[339, 358, 374, 363]","[301, 293, 298, 314]",358.5,301.5,19521.03038,4646.005229,5524.451596,433715.5992,127732.1752,122741.5146,5,467.4621138
26,12,1,35.28,42.336,Good,Inclined,"[348, 358, 372]","[261, 249, 261]",359.3333333,257,8550.4608,2035.00967,2419.780406,189972.9757,55948.32525,53762.35212,5,534.3347535
27,12,2,110.25,77.175,Intermediate,Inclined,"[378, 353, 376]","[259, 237, 223]",369,239.6666667,23903.3025,5688.985995,6764.634608,531080.3255,156406.7451,150295.7321,5,467.4621138
28,13,1,135.975,95.1825,Intermediate,Inclined,"[192, 219, 229]","[265, 250, 280]",213.3333333,265,29480.73975,7016.416061,8343.049349,654999.0682,192901.6523,185364.7363,5,467.4621138
29,13,2,13.475,9.4325,Intermediate,Inclined,"[233, 229, 240]","[273, 265, 263]",234,267,2921.51475,695.3205105,826.7886743,64909.81757,19116.37996,18369.47837,6,467.4621138
30,13,3,39.5675,27.69725,Intermediate,Inclined,"[240, 235, 238, 252]","[250, 240, 236, 231]",241.25,239.25,8578.629675,2041.713863,2427.752198,190598.8279,56132.64297,53939.46831,6,467.4621138
31,13,4,46.305,55.566,Good,Inclined,"[188, 210, 215, 194]","[251, 243, 246, 257]",201.75,249.25,11222.4798,2670.950192,3175.961783,249339.5306,73432.1769,70563.08716,5,534.3347535
32,14,1,99.96,119.952,Good,Inclined,"[240, 245, 221, 224]","[146, 121, 112, 139]",232.5,129.5,24226.3056,5765.860733,6856.044485,538256.7645,158520.2549,152326.6644,5,534.3347535
33,14,2,87.3425,104.811,Good,Inclined,"[188, 182, 193, 205]","[95, 116, 126, 106]",192,110.75,21168.3283,5038.062135,5990.636909,470315.0405,138510.958,133099.1565,5,534.3347535
34,14,3,120.54,84.378,Intermediate,Inclined,"[247, 266, 254, 242]","[152, 111, 114, 140]",252.25,129.25,26134.2774,6219.958021,7396.000504,580647.8226,171004.708,164323.3338,5,467.4621138
35,15,1,81.7075,81.7075,Good,Flat,"[130, 118, 128, 141]","[67, 90, 96, 71]",129.25,81,19802.6297,4713.025869,5604.144205,439972.1347,129574.7672,124512.1141,5,534.3347535
36,15,2,64.3125,77.175,Good,Inclined,"[95, 102, 116, 107]","[79, 83, 60, 58]",105,70,15586.7775,3709.653045,4411.058033,346304.9036,101989.1346,98004.28773,5,534.3347535
37,16,1,202.125,242.55,Good,Inclined,"[235, 240, 285, 283]","[16, 2, 25, 35]",260.75,19.5,48987.015,11658.90957,13863.32524,1088386.84,320537.2801,308013.4757,5,534.3347535
38,16,2,102.41,122.892,Good,Inclined,"[287, 322, 313, 284]","[28, 41, 50, 39]",301.5,39.5,24820.0876,5907.180849,7024.084791,551449.3323,162405.5553,156060.161,5,534.3347535
39,16,3,105.84,74.088,Intermediate,Inclined,"[326, 295, 290, 319]","[26, 13, 23, 37]",307.5,24.75,22947.1704,5461.426555,6494.049223,509837.1125,150150.4753,144283.9028,5,467.4621138
40,16,4,80.85,56.595,Intermediate,Inclined,"[255, 260, 288, 284]","[8, 0, 13, 20]",271.75,10.25,17529.0885,4171.923063,4960.732046,389458.9054,114698.2797,110216.8702,5,467.4621138
41,17,1,344.715,241.3005,Intermediate,Inclined,"[464, 443, 458, 485]","[72, 122, 130, 63]",462.5,96.75,74737.65915,17787.56288,21150.75754,1660511.151,489031.7564,469924.6558,5,467.4621138
42,17,1,39.5675,27.69725,Intermediate,Flat,"[455, 465, 458, 448]","[56, 61, 75, 69]",456.5,65.25,8578.629675,2041.713863,2427.752198,190598.8279,56132.64297,53939.46831,6,467.4621138
43,18,1,64.3125,45.01875,Intermediate,Inclined,"[559, 576, 584]","[177, 169, 190]",573,178.6666667,13943.59313,3318.575164,3946.036854,309796.8566,91237.26798,87672.51041,5,467.4621138
44,18,2,51.45,36.015,Intermediate,Inclined,"[581, 601, 591]","[169, 166, 187]",591,174,11154.8745,2654.860131,3156.829484,247837.4852,72989.81438,70138.00833,5,467.4621138
45,18,3,163.17,114.219,Intermediate,Inclined,"[623, 598, 586, 604]","[118, 121, 149, 154]",602.75,135.5,35376.8877,8419.699273,10011.65922,785998.8818,231481.9828,222437.6835,5,467.4621138
46,19,1,183.75,128.625,Intermediate,Inclined,"[620, 642, 650, 637]","[92, 49, 73, 99]",637.25,78.25,39838.8375,9481.643325,11274.39101,885133.8759,260677.9085,250492.8869,5,467.4621138
47,19,2,319.725,223.8075,Intermediate,Inclined,"[646, 655, 683, 704]","[50, 75, 95, 83]",672,75.75,69319.57725,16498.05939,19617.44036,1540132.944,453579.5608,435857.6232,5,467.4621138
48,20,1,95.795,114.954,Good,Inclined,"[620, 650, 643, 637, 631, 621, 616]","[192, 206, 215, 212, 202, 207, 204]",631.1428571,205.4285714,23216.8762,5525.616536,6570.375965,515829.3993,151915.2443,145979.72,5,534.3347535
49,21,1,45.08,54.096,Good,Inclined,"[654, 675, 669, 652]","[202, 210, 218, 212]",662.5,210.5,10925.5888,2600.290134,3091.94163,242743.2467,71489.52671,68696.33883,5,534.3347535
50,22,1,122.5,147,Good,Inclined,"[694, 728, 721, 688]","[220, 237, 245, 230]",707.75,233,29689.1,7066.0058,8402.0153,659628.3879,194265.0182,186674.8338,5,534.3347535
51,23,1,88.935,106.722,Good,Inclined,"[728, 757, 745, 724]","[240, 250, 262, 253]",738.5,251.25,21554.2866,5129.920211,6099.863108,478890.2096,141036.4032,135525.9293,5,534.3347535
52,24,1,73.5,88.2,Good,Inclined,"[748, 765, 773]","[265, 256, 280]",762,267,17813.46,4239.60348,5041.20918,395777.0327,116559.0109,112004.9003,5,534.3347535
53,24,2,362.6,253.82,Intermediate,Inclined,"[770, 798, 807, 777]","[254, 195, 195, 275]",788,229.75,78615.306,18710.44283,22248.1316,1746664.182,514404.4061,494305.9634,5,467.4621138
54,25,1,63.945,76.734,Good,Inclined,"[633, 650, 662, 637]","[130, 137, 131, 119]",645.5,129.25,15497.7102,3688.455028,4385.851987,344326.0185,101406.3395,97444.26323,5,534.3347535
55,25,2,95.795,67.0565,Intermediate,Inclined,"[691, 684, 694, 707]","[153, 138, 119, 129]",694,134.75,20769.31395,4943.09672,5877.715848,461449.794,135900.083,130590.2917,5,467.4621138
56,26,1,272.3175,190.62225,Intermediate,Inclined,"[721, 769, 778, 724]","[111, 139, 125, 100]",748,118.75,59041.15718,14051.79541,16708.64748,1311768.404,386324.6604,371230.4584,5,467.4621138
57,26,2,125.685,87.9795,Intermediate,Inclined,"[816, 832, 843, 824]","[155, 124, 130, 162]",828.75,142.75,27249.76485,6485.444034,7711.683453,605431.5711,178303.6894,171337.1346,5,467.4621138
58,26,3,73.255,51.2785,Intermediate,Inclined,"[728, 736, 751, 736]","[99, 102, 81, 76]",737.75,89.5,15882.41655,3780.015139,4494.723884,352873.3719,103923.5929,99863.16423,5,467.4621138
59,27,1,222.0925,155.46475,Intermediate,Inclined,"[859, 877, 896, 877]","[236, 195, 209, 244]",877.25,221,48151.87493,11460.14623,13626.9806,1069831.811,315072.6988,302762.4026,5,467.4621138
60,28,1,63.945,44.7615,Intermediate,Inclined,"[903, 905, 887]","[201, 180, 172]",898.3333333,184.3333333,13863.91545,3299.611877,3923.488072,308026.5888,90715.91216,87171.52463,5,467.4621138
61,29,1,238.5075,166.95525,Intermediate,Inclined,"[870, 854, 811, 849]","[298, 290, 305, 323]",846,304,51710.81108,12307.17304,14634.15953,1148903.771,338359.9253,325139.7672,5,467.4621138
62,30,1,368.48,257.936,Intermediate,Inclined,"[916, 972, 948, 908]","[185, 213, 232, 208]",936,209.5,79890.1488,19013.85541,22608.91211,1774988.466,522746.0992,502321.7358,5,467.4621138
63,31,1,171.99,120.393,Intermediate,Inclined,"[915, 921, 953, 954]","[363, 342, 360, 378]",935.75,360.75,37289.1519,8874.818152,10552.82999,828485.3078,243994.5224,234461.3421,5,467.4621138
64,31,1,88.2,61.74,Intermediate,Inclined,"[922, 944, 952, 932]","[340, 338, 316, 317]",937.5,327.75,19122.642,4551.188796,5411.707686,424864.2604,125125.3961,120236.5857,5,467.4621138
65,32,1,133.77,160.524,Good,Inclined,"[899, 935, 926, 893]","[395, 411, 421, 408]",913.25,408.75,32420.4972,7716.078334,9175.000708,720314.1995,212137.3999,203848.9185,5,534.3347535
66,33,1,223.44,156.408,Intermediate,Inclined,"[966, 980, 1004, 982]","[474, 437, 435, 483]",983,457.25,48444.0264,11529.67828,13709.65947,1076322.793,316984.3368,304599.3504,5,467.4621138
67,34,1,227.2375,159.06625,Intermediate,Inclined,"[945, 964, 980, 955]","[517, 474, 484, 527]",961,500.5,49267.36238,11725.63225,13942.66355,1094615.56,322371.6802,309776.2034,5,467.4621138
68,35,1,294,205.8,Intermediate,Inclined,"[924, 897, 910, 937]","[567, 619, 627, 576]",917,597.25,63742.14,15170.62932,18039.02562,1416214.201,417084.6536,400788.619,5,467.4621138
69,37,1,192.9375,231.525,Good,Inclined,"[810, 815, 855, 846]","[575, 561, 585, 596]",831.5,579.25,46760.3325,11128.95914,13233.1741,1038914.711,305967.4037,294012.8632,5,534.3347535
70,36,1,181.9125,218.295,Good,Inclined,"[856, 860, 901, 893]","[596, 583, 607, 616]",877.5,600.5,44088.3135,10493.01861,12476.99272,979548.156,288483.5521,277212.1281,5,534.3347535
71,38,1,76.0725,91.287,Good,Inclined,"[986, 1009, 1013]","[395, 387, 410]",1002.666667,397.3333333,18436.9311,4387.989602,5217.651501,409629.2289,120638.5763,115925.0718,5,534.3347535
72,39,1,95.9175,115.101,Good,Inclined,"[995, 1002, 1022, 1017]","[241, 224, 236, 253]",1009,238.5,23246.5653,5532.682541,6578.77798,516489.0277,152109.5093,146166.3948,5,534.3347535
73,40,1,231.1575,161.81025,Intermediate,Inclined,"[770, 746, 755, 783]","[603, 649, 654, 604]",763.5,627.5,50117.25758,11927.9073,14183.18389,1113498.416,327932.8089,315120.0517,5,467.4621138
74,41,1,161.7,113.19,Intermediate,Inclined,"[695, 723, 731, 687]","[569, 581, 599, 585]",709,583.5,35058.177,8343.846126,9921.464091,778917.8108,229396.5595,220433.7405,5,467.4621138
75,42,1,109.8825,76.91775,Intermediate,Inclined,"[831, 816, 823, 839]","[361, 389, 400, 362]",827.25,378,23823.62483,5670.022708,6742.085825,529310.0578,155885.3893,149794.7464,5,467.4621138
76,42,2,58.1875,69.825,Good,Inclined,"[792, 806, 812, 817]","[394, 385, 390, 404]",806.75,393.25,14102.3225,3356.352755,3990.957268,313323.4842,92275.88367,88670.54604,5,534.3347535
77,43,1,86.24,60.368,Intermediate,Inclined,"[740, 755, 762, 748]","[682, 655, 668, 687]",751.25,673,18697.6944,4450.051267,5291.447515,415422.8324,122344.8317,117564.6616,5,467.4621138
